
映像名称                       PID 会话名              会话#       内存使用 
esbuild.exe                  25820 Console                    1     55,628 K
Jx3mHelperTray.exe           46168 Console                    1     64,720 K
firefox.exe                  42880 Console                    1     62,732 K
firefox.exe                  49884 Console                    1    145,340 K
conhost.exe                  47760 Console                    1      6,480 K
bun.exe                       2912 Console                    1     17,764 K
bun.exe                      35492 Console                    1     27,340 K
node.exe                     34840 Console                    1     46,240 K
node.exe                     18540 Console                    1     46,264 K
esbuild.exe                  11564 Console                    1     55,964 K
esbuild.exe                  43748 Console                    1    371,048 K
msedge.exe                    5900 Console                    1     69,888 K
msedge.exe                   51064 Console                    1     26,956 K
firefox.exe                  24912 Console                    1    212,704 K
conhost.exe                  43108 Console                    1      6,448 K
bun.exe                      51272 Console                    1     21,404 K
bun.exe                      48644 Console                    1     25,784 K
node.exe                     45700 Console                    1     45,096 K
node.exe                     38296 Console                    1     49,852 K
esbuild.exe                  51644 Console                    1    410,932 K
esbuild.exe                  51616 Console                    1     56,496 K
conhost.exe                   4780 Console                    1      6,248 K
bun.exe                      36932 Console                    1     23,748 K
bun.exe                      53052 Console                    1     25,088 K
node.exe                     47712 Console                    1     55,140 K
node.exe                     31272 Console                    1     53,800 K
esbuild.exe                  53096 Console                    1     56,320 K
esbuild.exe                  52944 Console                    1    392,588 K
conhost.exe                  52976 Console                    1      7,248 K
bun.exe                      18572 Console                    1     28,112 K
bun.exe                      34184 Console                    1     32,604 K
node.exe                     49240 Console                    1     52,000 K
node.exe                     49092 Console                    1     52,252 K
esbuild.exe                  45372 Console                    1    380,128 K
esbuild.exe                  12332 Console                    1     57,032 K
firefox.exe                  43636 Console                    1    196,940 K
firefox.exe                  33668 Console                    1    339,100 K
Cursor.exe                   49972 Console                    1    235,780 K
Cursor.exe                   51468 Console                    1     32,296 K
Cursor.exe                   10132 Console                    1    347,036 K
Cursor.exe                   39088 Console                    1     41,764 K
Cursor.exe                   14188 Console                    1  1,350,844 K
Cursor.exe                   39432 Console                    1    302,240 K
Cursor.exe                   34400 Console                    1    115,140 K
Cursor.exe                   17444 Console                    1    113,236 K
Cursor.exe                   30476 Console                    1    108,764 K
Cursor.exe                   41180 Console                    1    118,024 K
Cursor.exe                   31132 Console                    1    138,804 K
Cursor.exe                    6428 Console                    1     47,704 K
Cursor.exe                   32428 Console                    1    121,076 K
svchost.exe                  39696 Services                   0     11,228 K
firefox.exe                  48736 Console                    1     31,212 K
firefox.exe                  34072 Console                    1    277,136 K
conhost.exe                  50616 Console                    1      7,912 K
bun.exe                      43804 Console                    1     32,688 K
bun.exe                      45748 Console                    1     31,348 K
node.exe                     23068 Console                    1     60,000 K
node.exe                     22892 Console                    1     58,612 K
esbuild.exe                  53048 Console                    1    380,088 K
esbuild.exe                  32656 Console                    1     55,636 K
conhost.exe                  51960 Console                    1      6,032 K
bun.exe                      37484 Console                    1     24,264 K
bun.exe                      37352 Console                    1     23,940 K
node.exe                     36216 Console                    1     44,792 K
node.exe                     52448 Console                    1     45,620 K
esbuild.exe                  50980 Console                    1    383,208 K
esbuild.exe                  50972 Console                    1     54,112 K
conhost.exe                  43888 Console                    1      6,828 K
bun.exe                      28772 Console                    1     32,880 K
bun.exe                      18028 Console                    1     27,440 K
node.exe                     51420 Console                    1     57,612 K
node.exe                     47148 Console                    1     56,892 K
esbuild.exe                  34020 Console                    1    366,976 K
esbuild.exe                  48332 Console                    1     56,412 K
firefox.exe                  57300 Console                    1    189,860 K
conhost.exe                  56584 Console                    1      6,164 K
node.exe                     50868 Console                    1    109,248 K
conhost.exe                  55556 Console                    1      6,436 K
bun.exe                      33664 Console                    1     40,480 K
bun.exe                      53196 Console                    1     40,084 K
node.exe                     56888 Console                    1     57,532 K
node.exe                     44824 Console                    1     59,432 K
esbuild.exe                  56840 Console                    1     56,668 K
esbuild.exe                  56616 Console                    1    385,380 K
Cursor.exe                   32212 Console                    1    586,380 K
Cursor.exe                   57136 Console                    1     80,644 K
cmd.exe                      17544 Console                    1      7,168 K
conhost.exe                  59644 Console                    1     10,720 K
OpenConsole.exe              53744 Console                    1     20,216 K
node.exe                     51652 Console                    1    142,420 K
conhost.exe                  55480 Console                    1      7,976 K
bun.exe                      58144 Console                    1     90,620 K
conhost.exe                  54036 Console                    1      7,424 K
bun.exe                      54384 Console                    1     81,124 K
firefox.exe                  49964 Console                    1     93,844 K
conhost.exe                  60132 Console                    1      6,420 K
bun.exe                      45244 Console                    1     46,356 K
bun.exe                      12812 Console                    1     47,576 K
node.exe                     49748 Console                    1     56,536 K
node.exe                     22944 Console                    1     57,536 K
esbuild.exe                  27812 Console                    1     55,852 K
esbuild.exe                  43976 Console                    1    382,820 K
clouddrive_desktop_widget     4636 Services                   0     23,520 K
conhost.exe                  19960 Console                    1      7,380 K
bun.exe                      32348 Console                    1     49,152 K
bun.exe                      59972 Console                    1     45,332 K
node.exe                     33360 Console                    1     58,788 K
node.exe                     31228 Console                    1     59,356 K
esbuild.exe                  47952 Console                    1    391,116 K
esbuild.exe                  48928 Console                    1     57,484 K
conhost.exe                   6728 Console                    1      6,808 K
bun.exe                      58896 Console                    1     51,544 K
bun.exe                      32400 Console                    1     46,340 K
node.exe                     41916 Console                    1     56,112 K
node.exe                     58292 Console                    1     56,792 K
esbuild.exe                  55604 Console                    1     55,604 K
esbuild.exe                  55560 Console                    1    364,716 K
conhost.exe                  28228 Console                    1      7,520 K
bun.exe                      55920 Console                    1     50,844 K
bun.exe                      55016 Console                    1     46,696 K
node.exe                     18836 Console                    1     58,316 K
node.exe                     18660 Console                    1     57,968 K
esbuild.exe                  49668 Console                    1     56,856 K
esbuild.exe                  50448 Console                    1    403,088 K
conhost.exe                  35904 Console                    1      7,396 K
bun.exe                      59920 Console                    1     43,716 K
bun.exe                      57896 Console                    1     47,148 K
node.exe                     49292 Console                    1     55,668 K
node.exe                     15056 Console                    1     56,548 K
esbuild.exe                   5160 Console                    1    390,564 K
esbuild.exe                  53916 Console                    1     56,796 K
msedge.exe                   28600 Console                    1     27,836 K
conhost.exe                  35188 Console                    1      8,060 K
bun.exe                      59136 Console                    1     63,572 K
bun.exe                      24928 Console                    1     63,580 K
node.exe                      7876 Console                    1     64,712 K
node.exe                     40564 Console                    1     64,780 K
esbuild.exe                  57800 Console                    1    398,840 K
esbuild.exe                  41372 Console                    1     56,732 K
Snipaste.exe                 47076 Console                    1     73,728 K
WeChatAppEx.exe              30172 Console                    1    207,744 K
WeChatAppEx.exe              45484 Console                    1     43,064 K
WeChatAppEx.exe              27468 Console                    1    192,784 K
PhoneExperienceHost.exe      55532 Console                    1    199,212 K
svchost.exe                  52340 Services                   0     11,384 K
firefox.exe                  53708 Console                    1    122,084 K
CrossDeviceService.exe       57060 Console                    1    115,364 K
RuntimeBroker.exe            38120 Console                    1     15,004 K
msedge.exe                   31988 Console                    1    102,408 K
Weixin.exe                   43144 Console                    1    102,748 K
WeChatAppEx.exe              55208 Console                    1     29,984 K
Weixin.exe                   36424 Console                    1     30,876 K
Weixin.exe                   62304 Console                    1     21,080 K
Weixin.exe                   61024 Console                    1     15,568 K
WeChatAppEx.exe              58616 Console                    1    129,624 K
WeChatAppEx.exe              39728 Console                    1    201,632 K
WeChatAppEx.exe              54344 Console                    1     68,156 K
WeChatAppEx.exe              58884 Console                    1    162,764 K
WeChatAppEx.exe              44144 Console                    1     73,464 K
ApplicationFrameHost.exe     41008 Console                    1     48,652 K
svchost.exe                  35556 Services                   0     10,944 K
WmiApSrv.exe                 57768 Services                   0     13,200 K
svchost.exe                  63124 Services                   0     12,840 K
firefox.exe                  63140 Console                    1    121,868 K
svchost.exe                  61184 Services                   0     16,560 K
EtwHostServiceUpdater.exe    66180 Console                    1    105,280 K
logioptionsplus_updater.e    56760 Services                   0     51,660 K
logioptionsplus_agent.exe    40460 Console                    1    223,484 K
firefox.exe                  29800 Console                    1     97,380 K
conhost.exe                  51532 Console                    1      8,024 K
bun.exe                      29744 Console                    1     63,592 K
bun.exe                      62264 Console                    1     63,600 K
node.exe                     61048 Console                    1     65,016 K
node.exe                     11056 Console                    1     65,124 K
esbuild.exe                  52884 Console                    1    404,464 K
esbuild.exe                  69188 Console                    1     56,828 K
xiezuo.exe                   36792 Console                    1    246,064 K
xiezuo.exe                   15240 Console                    1     34,972 K
xiezuo.exe                   48448 Console                    1    115,292 K
xiezuo.exe                   41564 Console                    1     19,180 K
xiezuo.exe                   65680 Console                    1     50,508 K
xz_helper.exe                65600 Console                    1     65,060 K
xiezuo.exe                   64536 Console                    1    355,872 K
xiezuo.exe                    4800 Console                    1      7,064 K
xiezuo.exe                   14688 Console                    1      4,988 K
jabra-device-connector.ex    14124 Console                    1     52,356 K
conhost.exe                  63200 Console                    1      7,812 K
xiezuo.exe                   58668 Console                    1     26,500 K
TAgent.exe                   31532 Console                    1    263,352 K
TAgent.exe                   46188 Console                    1    231,056 K
TAgent.exe                   62788 Console                    1     51,852 K
TAgent.exe                   61292 Console                    1    406,316 K
cmd.exe                      16124 Console                    1      7,016 K
conhost.exe                  32056 Console                    1      8,160 K
kscc.exe                     59976 Console                    1    318,624 K
cmd.exe                      65076 Console                    1      7,048 K
conhost.exe                  65064 Console                    1      7,988 K
node.exe                     66784 Console                    1    121,716 K
cmd.exe                        512 Console                    1      6,980 K
node.exe                     65908 Console                    1     78,628 K
conhost.exe                  54332 Console                    1      8,008 K
bun.exe                      58400 Console                    1     63,532 K
bun.exe                      68600 Console                    1     63,528 K
node.exe                     64604 Console                    1     65,332 K
node.exe                     63460 Console                    1     64,740 K
esbuild.exe                   4952 Console                    1    367,988 K
esbuild.exe                   4824 Console                    1     57,652 K
cmd.exe                      25356 Console                    1      7,000 K
conhost.exe                  25328 Console                    1      8,188 K
kscc.exe                     40032 Console                    1    354,732 K
cmd.exe                      34004 Console                    1      7,024 K
conhost.exe                  26016 Console                    1      7,992 K
node.exe                     44068 Console                    1     84,400 K
cmd.exe                      55144 Console                    1      7,052 K
node.exe                     67968 Console                    1     79,384 K
firefox.exe                  48620 Console                    1    116,920 K
conhost.exe                  61028 Console                    1      8,016 K
bun.exe                      68540 Console                    1     63,688 K
bun.exe                      35576 Console                    1     63,648 K
node.exe                     67820 Console                    1     64,748 K
node.exe                     18292 Console                    1     65,172 K
esbuild.exe                  49052 Console                    1    389,860 K
esbuild.exe                  23184 Console                    1     57,672 K
cmd.exe                      65424 Console                    1      7,000 K
conhost.exe                  16180 Console                    1      8,164 K
kscc.exe                     64684 Console                    1    366,624 K
cmd.exe                      26716 Console                    1      7,044 K
conhost.exe                  59212 Console                    1      7,992 K
node.exe                     16444 Console                    1     85,116 K
cmd.exe                      55992 Console                    1      6,984 K
node.exe                      4656 Console                    1     79,224 K
OpenConsole.exe              43624 Console                    1     17,064 K
powershell.exe               18252 Console                    1     89,668 K
bun.exe                      31032 Console                    1     63,432 K
bun.exe                      63420 Console                    1     66,076 K
bun.exe                      10408 Console                    1     63,180 K
conhost.exe                  12300 Console                    1      7,996 K
concurrently.exe             26340 Console                    1      3,648 K
node.exe                     25176 Console                    1     67,816 K
cmd.exe                       5264 Console                    1      6,772 K
cmd.exe                      68284 Console                    1      6,740 K
cmd.exe                      68164 Console                    1      6,772 K
cmd.exe                      68116 Console                    1      6,736 K
bun.exe                      68076 Console                    1     63,524 K
bun.exe                      67992 Console                    1     63,540 K
bun.exe                      35776 Console                    1     63,648 K
bun.exe                       1988 Console                    1     91,308 K
vite.exe                     64636 Console                    1      3,648 K
node.exe                     16140 Console                    1     64,776 K
node.exe                     64412 Console                    1     64,680 K
node.exe                     64316 Console                    1    223,968 K
bun.exe                      47508 Console                    1    306,132 K
esbuild.exe                  60932 Console                    1    387,584 K
esbuild.exe                  61084 Console                    1     56,056 K
esbuild.exe                  23984 Console                    1     23,992 K
firefox.exe                  34796 Console                    1     69,456 K
logioptionsplus_appbroker     6228 Console                    1     20,660 K
electron.exe                 66800 Console                    1    190,004 K
electron.exe                 46704 Console                    1    208,488 K
electron.exe                 62876 Console                    1     53,984 K
electron.exe                 61104 Console                    1    216,860 K
electron.exe                 61060 Console                    1    485,556 K
WmiPrvSE.exe                 50488 Services                   0     46,892 K
unsecapp.exe                 14140 Console                    1     12,680 K
svchost.exe                  68924 Console                    1     34,436 K
SMSS.exe                     51092 Console                    1     14,860 K
sysaid.exe                   10352 Console                    1     14,412 K
NVIDIA Overlay.exe            8220 Console                    1    209,052 K
NVIDIA Overlay.exe           56476 Console                    1     79,364 K
NVIDIA Overlay.exe           51888 Console                    1     38,728 K
NVIDIA Overlay.exe           64868 Console                    1     23,980 K
logioptionsplus_logivoice    60756 Console                    1    124,664 K
NVIDIA Overlay.exe           38460 Console                    1     94,344 K
ChatGPT.exe                  27456 Console                    1    353,824 K
ChatGPT.exe                  26876 Console                    1     16,076 K
ChatGPT.exe                  59020 Console                    1     14,312 K
ChatGPT.exe                  54812 Console                    1    184,928 K
ChatGPT.exe                  54584 Console                    1     60,276 K
ChatGPT.exe                  39508 Console                    1     36,380 K
ChatGPT.exe                   1548 Console                    1    236,948 K
ChatGPT.exe                  66156 Console                    1    675,732 K
codex.exe                    66064 Console                    1    186,216 K
conhost.exe                  46232 Console                    1      7,996 K
ChatGPT.exe                  23296 Console                    1    250,072 K
ChatGPT.exe                  55564 Console                    1     37,920 K
codex-code-mode-host.exe     32276 Console                    1     20,556 K
ChatGPT.exe                  19800 Console                    1    103,608 K
pwsh.exe                     59724 Console                    1    123,900 K
WeChatAppEx.exe               3428 Console                    1     92,852 K
WeChatAppEx.exe              33408 Console                    1     38,352 K
kscc.exe                     18620 Console                    1    388,776 K
cmd.exe                      54064 Console                    1      7,112 K
conhost.exe                  37416 Console                    1      8,024 K
node.exe                     42868 Console                    1    122,988 K
